4.51083419	6.96E-05
4.52116192	4.64E-05
4.53148964	6.96E-05
4.54181736	6.96E-05
4.55214508	1.10E-04
4.5624728	6.96E-05
4.57280052	7.54E-05
4.58312825	6.38E-05
4.59345597	4.64E-05
4.60378369	5.80E-05
4.61411141	9.86E-05
4.62443913	6.96E-05
4.63476685	1.62E-04
4.64509457	1.22E-04
4.6554223	1.97E-04
4.66575002	1.22E-04
4.67607774	1.16E-04
4.68640546	2.09E-04
4.69673318	1.57E-04
4.7070609	1.51E-04
4.71738863	2.03E-04
4.72771635	2.32E-04
4.73804407	2.15E-04
4.74837179	1.45E-04
4.75869951	1.80E-04
4.76902723	1.22E-04
4.77935496	2.03E-04
4.78968268	1.22E-04
4.8000104	1.57E-04
4.81033812	1.33E-04
4.82066584	1.10E-04
4.83099356	1.10E-04
4.84132129	1.10E-04
4.85164901	1.68E-04
4.86197673	1.57E-04
4.87230445	1.68E-04
4.88263217	2.09E-04
4.89295989	2.09E-04
4.90328762	1.86E-04
4.91361534	2.61E-04
4.92394306	1.80E-04
4.93427078	2.73E-04
4.9445985	1.22E-04
4.95492622	2.61E-04
4.96525395	2.32E-04
4.97558167	1.28E-04
4.98590939	2.96E-04
4.99623711	2.09E-04
5.00656483	2.20E-04
5.01689255	3.31E-04
5.02722028	1.28E-04
5.037548	2.78E-04
5.04787572	1.86E-04
5.05820344	1.91E-04
5.06853116	2.49E-04
5.07885888	1.68E-04
5.08918661	2.26E-04
5.09951433	2.20E-04
5.10984205	1.33E-04
5.12016977	2.73E-04
5.13049749	2.67E-04
5.14082521	2.15E-04
5.15115294	2.38E-04
5.16148066	1.80E-04
5.17180838	2.20E-04
5.1821361	2.09E-04
5.19246382	1.10E-04
5.20279154	2.03E-04
5.21311927	1.80E-04
5.22344699	2.03E-04
5.23377471	2.15E-04
5.24410243	2.03E-04
5.25443015	1.57E-04
5.26475787	1.97E-04
5.2750856	2.67E-04
5.28541332	2.67E-04
5.29574104	2.20E-04
5.30606876	2.61E-04
5.31639648	2.67E-04
5.3267242	2.61E-04
5.33705193	2.20E-04
5.34737965	2.49E-04
5.35770737	1.62E-04
5.36803509	2.03E-04
5.37836281	2.78E-04
5.38869053	1.91E-04
5.39901826	2.03E-04
5.40934598	1.86E-04
5.4196737	2.03E-04
5.43000142	1.68E-04
5.44032914	2.49E-04
5.45065686	3.83E-04
5.46098459	3.25E-04
5.47131231	3.54E-04
5.48164003	2.96E-04
5.49196775	3.07E-04
5.50229547	2.96E-04
5.51262319	2.55E-04
5.52295092	3.25E-04
5.53327864	3.77E-04
5.54360636	4.29E-04
5.55393408	3.60E-04
5.5642618	3.02E-04
5.57458952	3.66E-04
5.58491725	2.84E-04
5.59524497	2.49E-04
5.60557269	2.61E-04
5.61590041	2.84E-04
5.62622813	2.32E-04
5.63655585	2.78E-04
5.64688358	2.73E-04
5.6572113	3.83E-04
5.66753902	2.73E-04
5.67786674	3.42E-04
5.68819446	3.19E-04
5.69852218	1.97E-04
5.70884991	2.20E-04
5.71917763	2.78E-04
5.72950535	1.97E-04
5.73983307	2.32E-04
5.75016079	3.02E-04
5.76048851	2.90E-04
5.77081624	2.73E-04
5.78114396	3.02E-04
5.79147168	3.42E-04
5.8017994	2.09E-04
5.81212712	2.84E-04
5.82245484	1.91E-04
5.83278257	2.26E-04
5.84311029	4.00E-04
5.85343801	3.60E-04
5.86376573	2.61E-04
5.87409345	3.19E-04
5.88442117	2.96E-04
5.89474889	2.84E-04
5.90507662	2.90E-04
5.91540434	2.78E-04
5.92573206	2.49E-04
5.93605978	3.02E-04
5.9463875	2.03E-04
5.95671522	2.09E-04
5.96704295	2.90E-04
5.97737067	2.38E-04
5.98769839	1.86E-04
5.99802611	2.15E-04
6.00835383	3.36E-04
6.01868155	2.73E-04
6.02900928	3.48E-04
6.039337	2.73E-04
6.04966472	3.31E-04
6.05999244	2.61E-04
6.07032016	2.49E-04
6.08064788	1.97E-04
6.09097561	2.15E-04
6.10130333	2.09E-04
6.11163105	2.09E-04
6.12195877	1.57E-04
6.13228649	2.32E-04
6.14261421	2.44E-04
6.15294194	1.74E-04
6.16326966	1.62E-04
6.17359738	1.28E-04
6.1839251	2.44E-04
