0.100000 0.007647
0.150000 0.007029
0.200000 0.006946
0.250000 0.005720
0.300000 0.007231
0.350000 0.007248
0.400000 0.006647
0.450000 0.005394
0.550000 0.004557
0.600000 0.008306
0.650000 0.006053
0.700000 0.009411
0.800000 0.011491
0.900000 0.012793
1.000000 0.012102
1.100000 0.010012
1.200000 0.010630
1.300000 0.010394
1.400000 0.008520
1.500000 0.009540
1.630000 0.010557
1.730000 0.010158
1.830000 0.009849
1.930000 0.011248
2.030000 0.013946
2.130000 0.022939
2.230000 0.018540
2.330000 0.018540
2.430000 0.016995
2.530000 0.018231
2.630000 0.024720
2.730000 0.020467
2.830000 0.020085
2.950000 0.020394
3.050000 0.022248
3.150000 0.017613
3.250000 0.021630
3.350000 0.020085
3.450000 0.026255
3.550000 0.021939
3.650000 0.026873
3.750000 0.026255
3.850000 0.024102
3.950000 0.026255
4.050000 0.028190
4.150000 0.031790
4.280000 0.027890
4.380000 0.027590
4.480000 0.035690
4.580000 0.030590
4.680000 0.039890
4.780000 0.034790
4.880000 0.041690
4.980000 0.041690
5.050000 0.039890
5.120000 0.043190
5.190000 0.042890
5.290000 0.052190
5.370000 0.049790
5.490000 0.050690
5.630000 0.063290
5.820000 0.070790
5.970000 0.064790
5.790000 0.070490
5.890000 0.080934
5.990000 0.084714
6.100000 0.086259
6.200000 0.094409
6.300000 0.100409
6.400000 0.103409
6.500000 0.106409
6.600000 0.108409
6.700000 0.111409
6.850000 0.147474
7.050000 0.178679
7.250000 0.217979
7.450000 0.247814
7.650000 0.287659
7.850000 0.357423
8.050000 0.426443
8.250000 0.457302
8.450000 0.497297
8.650000 1.000000
